Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.short [single_line_text_field],Metafield: custom.badge [single_line_text_field],Metafield: custom.kind [single_line_text_field],Metafield: custom.accent_color [single_line_text_field]
fightpro-pink-unicorn-sport-tas-kids-legends,,,,,,,Maat,152,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-pink-unicorn-sport-tas-kids-legends,,,,,,,Maat,164,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-t-shirt-kids,Fightpro ICE WOLF / T-shirt kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro ICE WOLF / T-shirt kids</p>,Fightpro,Legends Kids,"Collecties, Fightpro, Kids fight, Kleding, Legends Kids, T-Shirts",TRUE,Maat,140,,shopify,10,deny,manual,29.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-kickboks-t-shirt-Ice-wolf.jpg,1,Fightpro ICE WOLF / T-shirt kids LEGENDS,active,"Fightpro ICE WOLF / T-shirt kids . Mooi te combineren met handschoenen, Broekje, tas en scheenbeschermers van dezelfde lijn. te verkrijgen in de maten: 128 140 152 164",,apparel,#1A1200
fightpro-ice-wolf-t-shirt-kids,,,,,,,Maat,152,,shopify,10,deny,manual,29.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-t-shirt-kids,,,,,,,Maat,164,,shopify,10,deny,manual,29.95,,TRUE,TRUE,,,,active,,,,
fightpro-pink-unicorn-roze-eenhoorn-t-shirt-kids,Fightpro PINK UNICORN roze eenhoorn / T-shirt kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro PINK UNICORN roze eenhoorn / T-shirt kids</p>,Fightpro,Legends Kids,"Collecties, Fightpro, Kids fight, Kleding, Legends Kids, T-Shirts",TRUE,Maat,140,,shopify,10,deny,manual,29.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-kickboks-t-shirt-PINK-UNICORN.jpg,1,Fightpro PINK UNICORN roze eenhoorn / T-shirt kids LEGENDS,active,"Fightpro PINK UNICORN roze eenhoorn / T-shirt voor kids. Mooi te combineren met handschoenen, Broekje, tas en scheenbeschermers van dezelfde lijn. te verkrijgen in de maten: 128 140 152 164",,apparel,#1A1200
fightpro-pink-unicorn-roze-eenhoorn-t-shirt-kids,,,,,,,Maat,152,,shopify,10,deny,manual,29.95,,TRUE,TRUE,,,,active,,,,
fightpro-pink-unicorn-roze-eenhoorn-t-shirt-kids,,,,,,,Maat,164,,shopify,10,deny,manual,29.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-broekje-kids,Fightpro ICE WOLF  / broekje kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro ICE WOLF / broekje kids</p>,Fightpro,Broekjes,"Broekjes, Collecties, Fightpro, Kids fight, Kleding, Legends Kids",TRUE,Maat,140,,shopify,10,deny,manual,34.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-kickboks-broekje-ice-wolf.jpg,1,Fightpro ICE WOLF  / broekje kids LEGENDS,active,"Fightpro ICE WOLF broekje kids ,kickboks broekje voor kids. Mooi te combineren met handschoenen, shirt , tas en scheenbeschermers van dezelfde lijn. te verkrijgen in de maten: XXS XS S M",,apparel,#1A1200
fightpro-ice-wolf-broekje-kids,,,,,,,Maat,152,,shopify,10,deny,manual,34.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-broekje-kids,,,,,,,Maat,164,,shopify,10,deny,manual,34.95,,TRUE,TRUE,,,,active,,,,
fightpro-pink-unicorn-roze-eenhoorn-broekje-kids,Fightpro PINK UNICORN LEGEND roze eenhoorn / broekje kids LEGENDS,<p>LEGENDS KIDS COLLECTION</p> <p>Fightpro PINK UNICORN roze eenhoorn / broekje kids</p>,Fightpro,Broekjes,"Broekjes, Collecties, Fightpro, Kids fight, Kleding, Legends Kids",TRUE,Maat,140,,shopify,10,deny,manual,34.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-kickboks-broekje-PINK-UNICORN.jpg,1,Fightpro PINK UNICORN LEGEND roze eenhoorn / broekje kids LEGENDS,active,"Fightpro PINK UNICORN roze eenhoorn / broekje kids ,kickboks broekje voor kids. Mooi te combineren met handschoenen, shirt , tas en scheenbeschermers van dezelfde lijn. te verkrijgen in de maten: XXS XS S M",,apparel,#1A1200
fightpro-pink-unicorn-roze-eenhoorn-broekje-kids,,,,,,,Maat,152,,shopify,10,deny,manual,34.95,,TRUE,TRUE,,,,active,,,,
fightpro-pink-unicorn-roze-eenhoorn-broekje-kids,,,,,,,Maat,164,,shopify,10,deny,manual,34.95,,TRUE,TRUE,,,,active,,,,
elleboog-beschermers-mma-muay-thai,Elleboog beschermers MMA- Muay Thai,<p>Elleboog beschermers MMA- Muay Thai</p>,PX,knie-elleboog beschermers,"Bescherming, knie-elleboog beschermers, PX",TRUE,,Default Title,,shopify,10,deny,manual,18.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/PX-elleboogbeschermermuay-thai-kickbox-mma.jpg,1,PX Elleboog beschermers MMA- Muay Thai,active,Elleboog beschermers MMA- Muay Thai,,shield,#101820
joya-kniebeschermers-mma-grappling,Joya kniebeschermers MMA-Grappling,<p>Joya kniebeschermers MMA-Grappling</p>,Joya,knie-elleboog beschermers,"Bescherming, Joya, knie-elleboog beschermers",TRUE,,Default Title,,shopify,10,deny,manual,19.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/JOYA-kniebeschermers-MMA-Grappling.jpg,1,Joya kniebeschermers MMA-Grappling,active,Joya kniebeschermers MMA-Grappling,,shield,#1C1C1C
px-kniebeschermers-mma-grappling,PX kniebeschermers MMA-Grappling,<p>PX kniebeschermers MMA-Grappling</p>,PX,knie-elleboog beschermers,"Bescherming, knie-elleboog beschermers, PX",TRUE,,Default Title,,shopify,10,deny,manual,18.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/PX-kniebeschermers-MMA-Grappling.jpg,1,PX kniebeschermers MMA-Grappling,active,PX kniebeschermers MMA-Grappling,,shield,#101820
fightpro-zakhandschoenen-vintage-leer-zwart,Fightpro Zakhandschoenen Vintage Leer Zwart,"<p class=""price"">Fightpro zakhandschoenen van hoogwaardig leer in zwart en bruin. Ideaal voor bokszaktraining, pads en techniekwerk. Duurzaam, comfortabel en perfect voor intensief gebruik in boksen en kickboksen.</p>",Joya,Zak handschoenen,"Handschoenen, Joya, Zak handschoenen",TRUE,Maat,L,,shopify,10,deny,manual,59.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/fightpro-zakhandschoene-bag-gloves-black-leather-vintage.jpg,1,Joya Fightpro Zakhandschoenen Vintage Leer Zwart,active,Fightpro Zakhandschoenen Leer Zwart,,bag,#1C1C1C
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,Maat,M,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,Maat,S,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,Maat,XL,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,Maat,XS,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,Maat,XXS,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,Fightpro Zakhandschoenen Vintage Leer Bruin,"<p class=""price"">Fightpro zakhandschoenen van hoogwaardig leer in zwart en bruin. Ideaal voor bokszaktraining, pads en techniekwerk. Duurzaam, comfortabel en perfect voor intensief gebruik in boksen en kickboksen.</p>",Joya,Zak handschoenen,"Handschoenen, Joya, Zak handschoenen",TRUE,Maat,L,,shopify,10,deny,manual,59.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/fightpro-zakhandschoene-bag-gloves-brown-leather-vintage.jpg,1,Joya Fightpro Zakhandschoenen Vintage Leer Bruin,active,Fightpro Zakhandschoenen Leer Bruin,,bag,#1C1C1C
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,Maat,M,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,Maat,S,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,Maat,XL,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,Maat,XS,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,Maat,XXS,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
joya-mma-handschoen-essential-black-on-black,JOYA MMA Handschoen Essential black on black,<p>JOYA MMA Handschoen Essential black on black</p>,Joya,MMA Gloves,"Handschoenen, Joya, MMA Gloves, MMA gloves PU/kunststof",TRUE,Maat,L,,shopify,10,deny,manual,44.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/JOYA-MMA-ESSENTIAL-HANDSCHOEN-ZWART-ZWART.jpg,1,JOYA MMA Handschoen Essential black on black,active,Mooie prijs/kwaliteit verhouding JOYA MMA Handschoen Essential black on black,,glove,#1C1C1C
joya-mma-handschoen-essential-black-on-black,,,,,,,Maat,M,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
joya-mma-handschoen-essential-black-on-black,,,,,,,Maat,S,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
joya-mma-handschoen-essential-black-on-black,,,,,,,Maat,XL,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
joya-mma-handschoen-essential-black-on-black,,,,,,,Maat,XS,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
joya-mma-handschoen-essential-black-on-black,,,,,,,Maat,XXS,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
booster-fight-gear-helm-hoofdbeschermer-hglb-2,Booster Fight Gear Helm hoofdbeschermer – HGLB 2,<p>Booster Fight Gear Helm hoofdbeschermer – HGLB 2</p>,Booster,Hoofdbeschermers,"Bescherming, Booster, Hoofdbeschermers",TRUE,Maat,L,,shopify,10,deny,manual,45.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/Booster-Helm-hoofdbeschermer-–HGLB2.jpg,1,Booster Fight Gear Helm hoofdbeschermer – HGLB 2,active,Junior hoofdbeschermer / helm voor boksen en kickboksen. Booster Fight Gear Helm hoofdbeschermer – HGLB 2,,shield,#0E2A4A
booster-fight-gear-helm-hoofdbeschermer-hglb-2,,,,,,,Maat,M,,shopify,10,deny,manual,45.95,,TRUE,TRUE,,,,active,,,,
booster-fight-gear-helm-hoofdbeschermer-hglb-2,,,,,,,Maat,S,,shopify,10,deny,manual,45.95,,TRUE,TRUE,,,,active,,,,
booster-fight-gear-helm-hoofdbeschermer-hglb-2,,,,,,,Maat,XL,,shopify,10,deny,manual,45.95,,TRUE,TRUE,,,,active,,,,
booster-fight-gear-helm-hoofdbeschermer-hglb-2,,,,,,,Maat,XS,,shopify,10,deny,manual,45.95,,TRUE,TRUE,,,,active,,,,
booster-fight-gear-helm-hoofdbeschermer-hglb-2,,,,,,,Maat,XXS,,shopify,10,deny,manual,45.95,,TRUE,TRUE,,,,active,,,,
booster-fight-gear-helm-hoofdbeschermer-hglb-2,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/06/Booster-Helm-hoofdbeschermer-–HGLB2-1.jpg,2,Booster Fight Gear Helm hoofdbeschermer – HGLB 2,,,,,
booster-fight-gear-helm-hoofdbeschermer-hglb-2,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/06/Booster-Helm-hoofdbeschermer-–HGLB2-2.jpg,3,Booster Fight Gear Helm hoofdbeschermer – HGLB 2,,,,,
booster-fight-gear-helm-hoofdbeschermer-hglb-2,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/06/Booster-Helm-hoofdbeschermer-–HGLB2-3.jpg,4,Booster Fight Gear Helm hoofdbeschermer – HGLB 2,,,,,
booster-fight-gear-helm-hoofdbeschermer-hglb-2,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/06/Booster-Helm-hoofdbeschermer-–HGLB2-4.jpg,5,Booster Fight Gear Helm hoofdbeschermer – HGLB 2,,,,,
fightpro-pink-unicorn-bokshandschoenen-kids,Fightpro Pink Unicorn bokshandschoenen kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro Pink Unicorn bokshandschoenen kids van LEGENDS lijn</p>,Fightpro,Kickbokshandschoenen Kunststof,"Collecties, Fightpro, Handschoenen, Kickbokshandschoenen Kunststof, Kids fight, Legends Kids",TRUE,Maat,140,,shopify,10,deny,manual,44.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/05/FIGHTPRO-bokshandschoenen-kids-unicorn-1.jpg,1,Fightpro Pink Unicorn bokshandschoenen kids LEGENDS,active,"Stoere Roze Eenhoorn bokshandschoenen voor kids. Mooi te combineren met scheenbeschermers , shirt , broekje en tas van dezelfde lijn. verkrijgbaar in de maten: 4 oz 6oz 8 oz 10 oz",,apparel,#1A1200
fightpro-pink-unicorn-bokshandschoenen-kids,,,,,,,Maat,152,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
fightpro-pink-unicorn-bokshandschoenen-kids,,,,,,,Maat,164,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
fightpro-pink-unicorn-bokshandschoenen-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/05/FIGHTPRO-bokshandschoenen-kids-unicorn-2.jpg,2,Fightpro Pink Unicorn bokshandschoenen kids LEGENDS,,,,,
fightpro-ice-wolf-bokshandschoenen-kids,Fightpro Ice Wolf bokshandschoenen kids LEGENDS,<p>LEGENDS KIDS COLLECTION</p> <p>Fightpro Ice Wolf bokshandschoenen kids</p>,Fightpro,Kickbokshandschoenen Kunststof,"Collecties, Fightpro, Handschoenen, Kickbokshandschoenen Kunststof, Kids fight, Legends Kids",TRUE,Maat,140,,shopify,10,deny,manual,44.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/05/FIGHTPRO-bokshandschoenen-kids-WOLF-1.jpg,1,Fightpro Ice Wolf bokshandschoenen kids LEGENDS,active,"Stoere Wolf bokshandschoenen voor kids. Mooi te combineren met scheenbeschermers , shirt , broekje en tas van dezelfde lijn. verkrijgbaar in de maten: 4 oz 6oz 8 oz 10 oz",,apparel,#1A1200
fightpro-ice-wolf-bokshandschoenen-kids,,,,,,,Maat,152,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-bokshandschoenen-kids,,,,,,,Maat,164,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-bokshandschoenen-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/05/FIGHTPRO-bokshandschoenen-kids-WOLF-2.jpg,2,Fightpro Ice Wolf bokshandschoenen kids LEGENDS,,,,,
fightpro-stootpads-rood-zwart-leren-focus-pads-voor-boksen-kickboksen-2,FIGHTPRO STOOTPADS ROOD/ZWART – LEREN FOCUS PADS VOOR BOKSEN &#038; KICKBOKSEN,"<h2>PROFESSIONELE LEREN HANDPADS VOOR INTENSIEVE TRAINING</h2> <p>De Fightpro stootpads rood/zwart zijn ontwikkeld voor intensieve stoot- en combinatietraining. Dankzij het hoogwaardige leer bieden deze focus pads een lange levensduur, uitstekende schokabsorptie en optimaal trainingscomfort.</p> <p>De ergonomische vorm zorgt voor een stabiele en veilige handpositie, terwijl de meerlaagse padding harde stoten effectief opvangt. Ideaal voor trainers en sporters binnen boksen, kickboksen, Muay Thai en MMA.</p> <hr /> <h2>VOORDELEN VAN DE FIGHTPRO STOOTPADS</h2> <ul> <li>Gemaakt van hoogwaardig en duurzaam leer</li> <li>Uitstekende schokabsorptie</li> <li>Ergonomische pasvorm voor stevige grip</li> <li>Lichtgewicht ontwerp voor snelle combinaties</li> <li>Comfortabel voor trainer en sporter</li> <li>Geschikt voor intensieve trainingen</li> </ul> <hr /> <h2>GESCHIKT VOOR</h2> <ul> <li>Boksen</li> <li>Kickboksen</li> <li>Muay Thai</li> <li>MMA</li> <li>Pads training</li> <li>Combinatie- en snelheidstraining</li> </ul>",Fightpro,Bestsellers!,"Bestsellers!, Fightpro, trap/stoot kussens, Bestseller",TRUE,,Default Title,,shopify,10,deny,manual,89.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/05/IMG_1675.jpeg,1,FIGHTPRO STOOTPADS ROOD/ZWART – LEREN FOCUS PADS VOOR BOKSEN &#038; KICKBOKSEN,active,,Bestseller,bag,#1A1200
fightpro-stootpads-rood-zwart-leren-focus-pads-voor-boksen-kickboksen,FIGHTPRO THAI KICK PADS / TRAPSTOOT PADS LEER,"<h2>PROFESSIONELE STOOT- EN TRAP PADS VOOR MUAY THAI EN KICKBOKSEN</h2> <p>De Fightpro Trittschlagpolster (Thai kick pads) zijn speciaal ontwikkeld voor intensieve trap- en stoottraining. Gemaakt van hoogwaardig, slijtvast leer bieden deze pads een duurzame en professionele trainingsoplossing voor dagelijks gebruik in gyms en vechtsportscholen.</p> <p>De stevige schuimvulling absorbeert krachtige trappen en stoten optimaal en geeft tegelijkertijd realistische feedback aan de sporter. Dit maakt ze ideaal voor techniek-, kracht- en combinatietraining.</p> <p>Dankzij het ergonomische ontwerp en de stevige handgrepen liggen de pads comfortabel en stabiel in de hand, zelfs tijdens lange en intensieve sessies.</p> <hr /> <h2>VOORDELEN VAN DE FIGHTPRO THAI KICK PADS</h2> <ul> <li>Gemaakt van hoogwaardig echt leer</li> <li>Zeer duurzaam en slijtvast</li> <li>Stevige schuimvulling voor optimale demping</li> <li>Ergonomische handgrepen voor veilige grip</li> <li>Geschikt voor intensieve training</li> <li>Professionele gym kwaliteit</li> </ul> <hr /> <h2>GESCHIKT VOOR</h2> <ul> <li>Kickboksen</li> <li>Muay Thai</li> <li>Boksen</li> <li>MMA</li> <li>Pad training en combinaties</li> <li>Techniek- en krachttraining</li> </ul>",Fightpro,Bestsellers!,"Bestsellers!, Fightpro, trap/stoot kussens, Bestseller",TRUE,,Default Title,,shopify,10,deny,manual,179.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/05/IMG_1673.jpeg,1,FIGHTPRO THAI KICK PADS / TRAPSTOOT PADS LEER,active,,Bestseller,bag,#1A1200
fightpro-bokszak-wandbeugel-van-staal-inclusief-schroefankers,Fightpro Bokszak Wandbeugel van Staal Inclusief Schroefankers,"<h2>EXTRA STERKE WANDHOUDER VOOR BOKSZAKKEN</h2> <p>De Fightpro professionele bokszak wandbeugel is ontworpen voor maximale stabiliteit, veiligheid en duurzaamheid. Gemaakt van extra sterk zwaar staal biedt deze muurbeugel een betrouwbare oplossing voor intensieve trainingen in boksen, kickboksen, Muay Thai en MMA.</p> <p>De stevige constructie zorgt ervoor dat zelfs zware bokszakken stabiel blijven hangen, ook bij krachtige stoten en trappen. Ideaal voor zowel thuisgyms als professionele sportscholen.</p> <hr /> <h2>VOORDELEN VAN DE FIGHTPRO BOKSZAK WANDBEUGEL</h2> <ul> <li>Extra sterk heavy-duty stalen frame</li> <li>Geschikt voor zware bokszakken</li> <li>Wandmontage voor maximale stabiliteit en ruimtebesparing</li> <li>Inclusief schroefankers en bevestigingsmateriaal</li> <li>Geschikt voor professioneel en thuisgebruik</li> <li>Duurzame studio kwaliteit</li> </ul> <hr /> <h2>GESCHIKT VOOR</h2> <ul> <li>Boksen</li> <li>Kickboksen</li> <li>Muay Thai</li> <li>MMA</li> <li>Heavy bag training</li> <li>Sportscholen en home gyms</li> </ul> <hr /> <h2>BELANGRIJKE INFORMATIE</h2> <p>Bokszak niet inbegrepen.</p> <p>Geschikt voor montage op stevige muren zoals beton of steen.</p>",FightPro,Bokszakken,"Bokszakken, Diversen",TRUE,,Default Title,,shopify,10,deny,manual,109.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/05/IMG_1670.jpeg,1,Fightpro Bokszak Wandbeugel van Staal Inclusief Schroefankers,active,,,bag,#1A1200
fightpro-bokszak-wandbeugel-van-staal-inclusief-schroefankers,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/05/IMG_1672.jpeg,2,Fightpro Bokszak Wandbeugel van Staal Inclusief Schroefankers,,,,,
fightpro-bokszak-wandbeugel-van-staal-inclusief-schroefankers,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/05/IMG_1671.jpeg,3,Fightpro Bokszak Wandbeugel van Staal Inclusief Schroefankers,,,,,
fightpro-bitje-gebitsbeschermer-elite,Fightpro bitje gebitsbeschermer Elite,<p>Fightpro bitje gebitsbeschermer Elite</p>,FightPro,Gebitsbeschermer,"Bescherming, Gebitsbeschermer",TRUE,,Default Title,,shopify,10,deny,manual,9.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/04/FIGHTPRO-mundschutz-elite-3.jpg,1,Fightpro bitje gebitsbeschermer Elite,active,Fightpro bitje gebitsbeschermer Elite,,shield,#1A1200
fightpro-bitje-gebitsbeschermer-elite,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/04/FIGHTPRO-mundschutz-elite-2.jpg,2,Fightpro bitje gebitsbeschermer Elite,,,,,
fightpro-bitje-gebitsbeschermer-elite,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/04/FIGHTPRO-mundschutz-elite.jpg,3,Fightpro bitje gebitsbeschermer Elite,,,,,
fightpro-bitje-gebitsbeschermer-elite,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/04/FIGHTPRO-mundschutz-elite-black.jpg,4,Fightpro bitje gebitsbeschermer Elite,,,,,
fightpro-bitje-gebitsbeschermer-basis,Fightpro bitje gebitsbeschermer Basis,<p>Fightpro bitje gebitsbeschermer Basis</p>,FightPro,Gebitsbeschermer,"Bescherming, Gebitsbeschermer",TRUE,,Default Title,,shopify,10,deny,manual,4.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/04/fightpro-mundschutz-mouthguard-fightpro-basic.jpg,1,Fightpro bitje gebitsbeschermer Basis,active,Fightpro bitje gebitsbeschermer Basis,,shield,#1A1200
fightpro-bitje-gebitsbeschermer-basis,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/04/fightpro-mundschutz-mouthguard-fightpro-basic.jpg,2,Fightpro bitje gebitsbeschermer Basis,,,,,
